                                                                                             	/home/glatard/code/one-voxel/results/onevoxel vs /home/glatard/code/one-voxel/results/regular	
fmri/fmri_sub01_sessretest_taskrest.nii.gz                                                   	                                             1                                              	
fmri/fmri_sub01_sesstest_taskrest.nii.gz                                                     	                                             1                                              	
fmri/fmri_sub01_sessretest_taskrest_extra.mat                                                	                                             1                                              	
fmri/fmri_sub02_sessretest_taskrest.nii.gz                                                   	                                             1                                              	
fmri/fmri_sub01_sesstest_taskrest_extra.mat                                                  	                                             1                                              	
fmri/fmri_sub02_sesstest_taskrest_extra.mat                                                  	                                             1                                              	
fmri/fmri_sub02_sessretest_taskrest_extra.mat                                                	                                             1                                              	
fmri/fmri_sub02_sesstest_taskrest.nii.gz                                                     	                                             1                                              	
anat/template_fmri_stereo.nii.gz                                                             	                                             1                                              	
anat/template_aal.nii.gz                                                                     	                                             1                                              	
anat/sub01/anat_sub01_nuc_nativet1.nii.gz                                                    	                                             1                                              	
anat/sub01/func_sub01_mask_stereonl.nii.gz                                                   	                                             1                                              	
anat/sub01/anat_sub01_classify_stereolin.nii.gz                                              	                                             1                                              	
anat/sub01/func_sub01_mask_stem_stereo.nii.gz                                                	                                             1                                              	
anat/sub01/transf_sub01_nativet1_to_stereolin.xfm                                            	                                             1                                              	
anat/sub01/transf_sub01_nativefunc_to_stereonl.xfm                                           	                                             1                                              	
anat/sub01/anat_sub01_mask_register_bold_stereolin.nii.gz                                    	                                             1                                              	
anat/sub01/anat_sub01_mask_stereolin.nii.gz                                                  	                                             1                                              	
anat/sub01/transf_sub01_stereolin_to_stereonl_grid.mnc                                       	                                             1                                              	
anat/sub01/transf_sub01_stereolin_to_stereonl.xfm                                            	                                             1                                              	
anat/sub01/anat_sub01_nuc_stereonl.nii.gz                                                    	                                             1                                              	
anat/sub01/func_sub01_std_stereonl.nii.gz                                                    	                                             1                                              	
anat/sub01/func_sub01_mask_wm_stereo.nii.gz                                                  	                                             1                                              	
anat/sub01/transf_sub01_nativefunc_to_stereonl_grid_0.mnc                                    	                                             1                                              	
anat/sub01/func_sub01_mean_stereonl.nii.gz                                                   	                                             1                                              	
anat/sub01/func_sub01_mask_vent_stereo.nii.gz                                                	                                             1                                              	
anat/sub01/anat_sub01_mask_stereonl.nii.gz                                                   	                                             1                                              	
anat/sub01/transf_sub01_nativefunc_to_stereolin.xfm                                          	                                             1                                              	
anat/sub01/anat_sub01_nuc_stereolin.nii.gz                                                   	                                             1                                              	
anat/sub01/anat_sub01_nativefunc_lowres.nii.gz                                               	                                             1                                              	
anat/sub02/anat_sub02_nuc_stereonl.nii.gz                                                    	                                             1                                              	
anat/sub02/func_sub02_mean_stereonl.nii.gz                                                   	                                             1                                              	
anat/sub02/func_sub02_mask_stereonl.nii.gz                                                   	                                             1                                              	
anat/sub02/transf_sub02_nativefunc_to_stereonl.xfm                                           	                                             1                                              	
anat/sub02/anat_sub02_mask_register_bold_stereolin.nii.gz                                    	                                             1                                              	
anat/sub02/func_sub02_mask_wm_stereo.nii.gz                                                  	                                             1                                              	
anat/sub02/anat_sub02_mask_stereonl.nii.gz                                                   	                                             1                                              	
anat/sub02/func_sub02_mask_stem_stereo.nii.gz                                                	                                             1                                              	
anat/sub02/func_sub02_std_stereonl.nii.gz                                                    	                                             1                                              	
anat/sub02/anat_sub02_classify_stereolin.nii.gz                                              	                                             1                                              	
anat/sub02/transf_sub02_nativefunc_to_stereonl_grid_0.mnc                                    	                                             1                                              	
anat/sub02/transf_sub02_stereolin_to_stereonl_grid.mnc                                       	                                             1                                              	
anat/sub02/anat_sub02_nuc_stereolin.nii.gz                                                   	                                             1                                              	
anat/sub02/anat_sub02_mask_stereolin.nii.gz                                                  	                                             1                                              	
anat/sub02/anat_sub02_nativefunc_lowres.nii.gz                                               	                                             1                                              	
anat/sub02/transf_sub02_stereolin_to_stereonl.xfm                                            	                                             1                                              	
anat/sub02/transf_sub02_nativefunc_to_stereolin.xfm                                          	                                             1                                              	
anat/sub02/func_sub02_mask_vent_stereo.nii.gz                                                	                                             1                                              	
anat/sub02/transf_sub02_nativet1_to_stereolin.xfm                                            	                                             1                                              	
anat/sub02/anat_sub02_nuc_nativet1.nii.gz                                                    	                                             1                                              	
anat/template_anat_stereo.nii.gz                                                             	                                             1                                              	
logs/tmp/psom8.sh                                                                            	                                             1                                              	
logs/tmp/psom11.sh                                                                           	                                             1                                              	
logs/tmp/psom3.sh                                                                            	                                             1                                              	
logs/tmp/psom6.sh                                                                            	                                             1                                              	
logs/tmp/psom12.sh                                                                           	                                             1                                              	
logs/tmp/psom_manager.sh                                                                     	                                             1                                              	
logs/tmp/psom10.sh                                                                           	                                             1                                              	
logs/tmp/psom2.sh                                                                            	                                             1                                              	
logs/tmp/psom1.sh                                                                            	                                             1                                              	
logs/tmp/psom7.sh                                                                            	                                             1                                              	
logs/tmp/psom5.sh                                                                            	                                             1                                              	
logs/tmp/psom9.sh                                                                            	                                             1                                              	
logs/tmp/psom4.sh                                                                            	                                             1                                              	
logs/tmp/psom_garbage.sh                                                                     	                                             1                                              	
logs/PIPE_jobs.mat                                                                           	                                             1                                              	
logs/heartbeat.mat                                                                           	                                             1                                              	
logs/PIPE_status.mat                                                                         	                                             1                                              	
logs/PIPE_logs.mat                                                                           	                                             1                                              	
logs/PIPE_history.txt                                                                        	                                             1                                              	
logs/PIPE_time.mat                                                                           	                                             1                                              	
logs/news_feed.csv                                                                           	                                             1                                              	
logs/deamon/deamon.log                                                                       	                                             1                                              	
logs/deamon/deamon.exit                                                                      	                                             0                                              	
logs/deamon/psom_deamon.sh                                                                   	                                             1                                              	
logs/PIPE_logs_backup.mat                                                                    	                                             1                                              	
logs/PIPE_profile.mat                                                                        	                                             1                                              	
logs/PIPE_status_init.mat                                                                    	                                             1                                              	
logs/PIPE.mat                                                                                	                                             1                                              	
